,id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
83,d741c028b43676dd1fefa612efcda6ea,320193,AAPL,Robert Mansfield,"Senior Vice President, Mac Hardware Engineering",2009,600396,0,12239549,537872,600000,18772,13996589,0.0
84,eb6265c1711f988eb8a6738ba13b11a1,320193,AAPL,Scott Forstall,"Senior Vice President, iPhone Software Engineering & Platform Experience",2009,600396,0,12312632,273818,600000,17909,13804755,0.0
85,464c3ca8c04ba3a483e7f810a08d00f7,320193,AAPL,Timothy D. Cook,Chief Operating Officer,2009,800400,0,12359723,0,800000,40917,14001040,0.0
86,d97b9dd5805b3bc0de281d8c496c60ea,320193,AAPL,Steven P. Jobs,Chief Executive Officer,2008,1,0,0,0,0,0,1,
87,853ea9f8f3fe4d2b5242428df9849e56,320193,AAPL,Peter Oppenheimer,Senior Vice President and Chief Financial Officer,2008,600012,0,4145732,0,600000,23703,5369447,
88,592ea6a35bda87298b02f930328e3324,320193,AAPL,Timothy D. Cook,Chief Operating Officer,2008,718860,0,5984384,0,700000,20450,7423694,
89,9bd4b5f970d1a9063c3a0626b97a1f15,320193,AAPL,Tony Fadell,"Senior Vice President, iPod Division",2008,500009,500,6879383,459693,500000,78438,8418023,
90,e24ebedede883f086295c104b141c963,320193,AAPL,Robert Mansfield,"Senior Vice President, Mac Hardware Engineering",2008,489432,0,5379345,810589,408654,22983,7111003,
91,8d28713ae5fd1a346a051fa53b53660d,320193,AAPL,Ronald B. Johnson,"Senior Vice President, Retail",2007,600012,0,4946610,0,600000,379,6147001,0.0
92,5424fc3e116446ac4ff2a9350287ef62,320193,AAPL,Tony Fadell,"Senior Vice President, iPod Division",2007,500009,6750,3705832,628628,500000,13952,5355171,0.0
93,bd011145bebfe58a89964a4f9d838b9f,320193,AAPL,Timothy D. Cook,Chief Operating Officer,2007,700014,0,6943426,0,700000,13750,8357190,0.0
94,dcb180477323949b9e2b2a3910e93dfb,320193,AAPL,Peter Oppenheimer,Senior Vice President and Chief Financial Officer,2007,600012,0,4946610,0,600000,598723,6745345,0.0
95,13c5cb9b41501d5a80aee56cfa163d2f,320193,AAPL,Steven P. Jobs,Chief Executive Officer,2007,1,0,0,0,0,0,1,0.0
