id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
fc3ec55412ac18105614d3e648f3d494,37996,F,Joseph R. Hinrichs,Executive Vice President and President — The Americas,2013,853750,126800,1745994,599999,963200,120206,4409949,0.0
01c0fe67f8b05ecedc65ca4d206c5493,37996,F,zwsp,&zwsp; &zwsp;,2012,0,1301250,1000994,1099995,1038750,126823,8854065,2900420.0
4e1201d78f87a3823c752b5a06121c99,37996,F,Alan Mulally,President and Chief Executive Officer,2012,2000000,1325000,6824998,7499999,2625000,680809,20955806,0.0
17815708398c79e7946edb88cd64110d,37996,F,Global Marketing Sales and,Service and Lincoln L. W. K. Booth Retired Executive Vice President and Chief Financial Officer,2012,312500,0,0,0,234375,971378,3103087,1584834.0
12167ed2530388788251365b931df3f8,37996,F,Joseph R. Hinrichs,Executive Vice President and President — The Americas,2012,782917,0,682493,750000,660000,381527,4097155,840218.0
558655e9c4aeb46fac17f6135b7f9784,37996,F,"William Clay Ford, Jr.",Executive Chairman,2012,2000000,375000,3184990,3499999,750000,1768505,14836013,3257519.0
a6a94c78c7f0326f2692c50d85b89e58,37996,F,"James D. Farley, Jr.","Executive Vice President and President — Europe, Middle East & Africa",2012,707500,181000,682493,750000,474000,1802024,4597017,
f905cd295fe9464a2394c7ace10c3012,37996,F,James D. Farley,Executive Vice President —,2012,707500,181000,682493,750000,474000,1802024,4597017,0.0
4a84461bee2bcab8d4529436de1e2004,37996,F,Robert L. Shanks,Executive Vice President and Chief Financial Officer,2012,700000,227500,818998,899999,562500,64048,5181848,1908803.0
1d97a86ef8bea1509caee9f1ebb0f6c4,37996,F,Mark Fields,Chief Operating Officer,2012,1385833,1301250,1000994,1099995,1038750,126823,8854065,2900420.0
109f5fa3e7ec1b89675c321c7597e85d,37996,F,zwsp,&zwsp; &zwsp;,2011,1350000,136500,3368996,1099992,1363500,132593,8840183,1388602.0
7a4078fd00e367336df63afd80e9ad3e,37996,F,Global Marketing Sales and,Service and Lincoln L. W. K. Booth Retired Executive Vice President and Chief Financial Officer,2011,1250000,100000,2868986,1099992,1300000,90848,7731816,1021990.0
b9c8b065323edafeed76703d4679bf4c,37996,F,Mark Fields,Executive Vice President and President — The Americas,2011,1350000,136500,3368996,1099992,1363500,132593,8840183,1388602.0
acae1ea0774c628845348a2a8b4ce505,37996,F,L. W. K. Booth,Executive Vice President and Chief Financial Officer,2011,1250000,100000,2868986,1099992,1300000,90848,7731816,1021990.0
c213ca951fd721d43f26ae3a451a2bc0,37996,F,Alan Mulally,President and Chief Executive Officer,2011,2000000,1820000,13924993,7499992,3640000,612587,29497572,0.0
8ecf588691cf59c582a66d951bfe1764,37996,F,"William Clay Ford, Jr.",Executive Chairman,2011,2000000,520000,2764996,3499993,1040000,1476058,14458146,3157099.0
7568cae0880c7d47ce549ad742bf14c8,37996,F,Joseph R. Hinrichs,Group Vice President and President — Asia Pacific and Africa,2011,751250,118040,2092500,749997,806960,367368,5302360,416245.0
a2534f40233ec1ba186f5a671a8e31ca,37996,F,Alan Mulally,President and Chief Executive Officer,2010,1400000,0,3150000,7492493,7499993,0,26520515,6300000.0
ed524a7f2844f2bea7d5f89d601eff93,37996,F,Mark Fields,Executive Vice President and President — The Americas,2010,1337500,0,1156500,1231783,1239997,1243503,8818892,2443500.0
2782792ccd80fd7af87a8988657608ac,37996,F,Global Marketing Sales and,Service and Lincoln L. W. K. Booth Retired Executive Vice President and Chief Financial Officer,2010,1237500,750000,1226986,1239997,2250000,89883,8196821,1402455.0
3d9967e25b2df6f658744ebb92e34334,37996,F,"William Clay Ford, Jr.",Executive Chairman,2010,4800000,0,900000,3496491,13035838,1225500,26460998,1800000.0
496f7b282f24b0c51ff294f97f4d1d98,37996,F,L. W. K. Booth,Executive Vice President and Chief Financial Officer,2010,1237500,0,750000,1226986,1239997,1402455,8196821,2250000.0
4e84ff2027f8aff012c9911d0d66953c,37996,F,John Fleming,Executive Vice President Global Manufacturing & Labor Affairs,2010,776250,0,0,1496632,929996,1116945,5916261,1400000.0
5c035d3691e9921cbf69fed0b2a04c17,37996,F,L. W. K. Booth,Executive Vice President and Chief Financial Officer,2009,1200000,0,0,345493,760000,1382493,3826187,
db59844a9696ecb73f1c7d9650373434,37996,F,John Fleming,Executive Vice President Global Manufacturing & Labor Affairs and Chairman — Ford of Europe,2009,750000,0,0,1004842,570000,1332269,3852418,
869b0c68e973133c43eb5d1f1bd36c88,37996,F,Alan Mulally,President and Chief Executive Officer,2009,1400003,0,0,10974782,5050000,0,17916654,
de0cf52b261386febb88e62fb719ed78,37996,F,"William Clay Ford, Jr.",Executive Chairman,2009,0,0,0,9411533,5066200,616374,16834274,
