Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"38,495,081.31",0.37,"38,495,081.31","561,071.00",68.61,United States,New York Stock Exchange Inc.,USD,1.00
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"37,956,260.25",0.37,"37,956,260.25","193,605.00",196.05,United States,New York Stock Exchange Inc.,USD,1.00
QCOM,QUALCOMM INC,Information Technology,Equity,"37,942,199.68",0.37,"37,942,199.68","295,316.00",128.48,United States,NASDAQ,USD,1.00
COP,CONOCOPHILLIPS,Energy,Equity,"37,523,131.90",0.36,"37,523,131.90","340,315.00",110.26,United States,New York Stock Exchange Inc.,USD,1.00
UNP,UNION PACIFIC CORP,Industrials,Equity,"37,063,189.70",0.36,"37,063,189.70","165,505.00",223.94,United States,New York Stock Exchange Inc.,USD,1.00
LIN,LINDE PLC,Materials,Equity,"36,734,923.38",0.36,"36,734,923.38","132,278.00",277.71,United States,New York Stock Exchange Inc.,USD,1.00
CVS,CVS HEALTH CORP,Health Care,Equity,"34,340,609.60",0.33,"34,340,609.60","345,340.00",99.44,United States,New York Stock Exchange Inc.,USD,1.00
RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,Equity,"34,307,864.33",0.33,"34,307,864.33","391,687.00",87.59,United States,New York Stock Exchange Inc.,USD,1.00
AMGN,AMGEN INC,Health Care,Equity,"34,158,415.95",0.33,"34,158,415.95","140,935.00",242.37,United States,NASDAQ,USD,1.00
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"34,107,135.36",0.33,"34,107,135.36","425,064.00",80.24,United States,NASDAQ,USD,1.00
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"34,060,017.14",0.33,"34,060,017.14","322,111.00",105.74,United States,New York Stock Exchange Inc.,USD,1.00
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"34,023,823.26",0.33,"34,023,823.26","174,026.00",195.51,United States,New York Stock Exchange Inc.,USD,1.00
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"33,687,847.34",0.33,"33,687,847.34","1,079,047.00",31.22,United States,NASDAQ,USD,1.00
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"33,560,024.19",0.33,"33,560,024.19","179,571.00",186.89,United States,NASDAQ,USD,1.00
T,AT&T INC,Communication,Equity,"32,375,491.29",0.31,"32,375,491.29","1,883,391.00",17.19,United States,New York Stock Exchange Inc.,USD,1.00
SPGI,S&P GLOBAL INC,Financials,Equity,"31,140,347.77",0.30,"31,140,347.77","89,579.00",347.63,United States,New York Stock Exchange Inc.,USD,1.00
MDT,MEDTRONIC PLC,Health Care,Equity,"30,689,342.40",0.30,"30,689,342.40","351,942.00",87.20,United States,New York Stock Exchange Inc.,USD,1.00
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"30,623,768.00",0.30,"30,623,768.00","122,080.00",250.85,United States,New York Stock Exchange Inc.,USD,1.00
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"30,507,557.05",0.30,"30,507,557.05","63,295.00",481.99,United States,New York Stock Exchange Inc.,USD,1.00
INTU,INTUIT INC,Information Technology,Equity,"30,480,393.72",0.30,"30,480,393.72","72,562.00",420.06,United States,NASDAQ,USD,1.00
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"30,303,226.07",0.29,"30,303,226.07","237,133.00",127.79,United States,New York Stock Exchange Inc.,USD,1.00
ORCL,ORACLE CORP,Information Technology,Equity,"29,803,593.12",0.29,"29,803,593.12","399,084.00",74.68,United States,New York Stock Exchange Inc.,USD,1.00
MS,MORGAN STANLEY,Financials,Equity,"29,086,041.60",0.28,"29,086,041.60","336,644.00",86.40,United States,New York Stock Exchange Inc.,USD,1.00
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"29,066,486.76",0.28,"29,066,486.76","87,687.00",331.48,United States,New York Stock Exchange Inc.,USD,1.00
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"28,167,019.94",0.27,"28,167,019.94","400,441.00",70.34,United States,New York Stock Exchange Inc.,USD,1.00
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,"27,754,188.28",0.27,"27,754,188.28","304,556.00",91.13,United States,NASDAQ,USD,1.00
DE,DEERE,Industrials,Equity,"26,716,622.76",0.26,"26,716,622.76","73,758.00",362.22,United States,New York Stock Exchange Inc.,USD,1.00
ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,Equity,"26,252,116.88",0.25,"26,252,116.88","110,081.00",238.48,United States,NASDAQ,USD,1.00
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"26,194,947.74",0.25,"26,194,947.74","62,582.00",418.57,United States,New York Stock Exchange Inc.,USD,1.00
NFLX,NETFLIX INC,Communication,Equity,"26,101,686.18",0.25,"26,101,686.18","115,438.00",226.11,United States,NASDAQ,USD,1.00
BLK,BLACKROCK INC,Financials,Equity,"25,984,815.22",0.25,"25,984,815.22","39,487.00",658.06,United States,New York Stock Exchange Inc.,USD,1.00
CAT,CATERPILLAR INC,Industrials,Equity,"25,365,566.59",0.25,"25,365,566.59","140,273.00",180.83,United States,New York Stock Exchange Inc.,USD,1.00
C,CITIGROUP INC,Financials,Equity,"25,348,985.64",0.25,"25,348,985.64","519,021.00",48.84,United States,New York Stock Exchange Inc.,USD,1.00
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"25,003,672.98",0.24,"25,003,672.98","301,467.00",82.94,United States,NASDAQ,USD,1.00
AXP,AMERICAN EXPRESS,Financials,Equity,"23,722,691.67",0.23,"23,722,691.67","158,373.00",149.79,United States,New York Stock Exchange Inc.,USD,1.00
PLD,PROLOGIS REIT INC,Real Estate,Equity,"23,709,799.02",0.23,"23,709,799.02","194,518.00",121.89,United States,New York Stock Exchange Inc.,USD,1.00
CI,CIGNA CORP,Health Care,Equity,"23,674,257.60",0.23,"23,674,257.60","82,288.00",287.70,United States,New York Stock Exchange Inc.,USD,1.00
NOW,SERVICENOW INC,Information Technology,Equity,"22,949,514.67",0.22,"22,949,514.67","52,817.00",434.51,United States,New York Stock Exchange Inc.,USD,1.00
TMUS,T MOBILE US INC,Communication,Equity,"22,302,644.34",0.22,"22,302,644.34","157,083.00",141.98,United States,NASDAQ,USD,1.00
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"22,057,439.65",0.21,"22,057,439.65","363,205.00",60.73,United States,NASDAQ,USD,1.00
BA,BOEING,Industrials,Equity,"21,903,223.22",0.21,"21,903,223.22","144,271.00",151.82,United States,New York Stock Exchange Inc.,USD,1.00
SO,SOUTHERN,Utilities,Equity,"21,795,735.13",0.21,"21,795,735.13","279,899.00",77.87,United States,New York Stock Exchange Inc.,USD,1.00
DUK,DUKE ENERGY CORP,Utilities,Equity,"21,739,404.00",0.21,"21,739,404.00","203,172.00",107.00,United States,New York Stock Exchange Inc.,USD,1.00
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"21,511,935.00",0.21,"21,511,935.00","478,043.00",45.00,United States,New York Stock Exchange Inc.,USD,1.00
CB,CHUBB LTD,Financials,Equity,"21,242,080.80",0.21,"21,242,080.80","111,285.00",190.88,United States,New York Stock Exchange Inc.,USD,1.00
MMC,MARSH & MCLENNAN INC,Financials,Equity,"21,197,791.01",0.21,"21,197,791.01","132,263.00",160.27,United States,New York Stock Exchange Inc.,USD,1.00
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"21,183,464.52",0.21,"21,183,464.52","232,173.00",91.24,United States,NASDAQ,USD,1.00
GILD,GILEAD SCIENCES INC,Health Care,Equity,"21,138,779.50",0.20,"21,138,779.50","331,225.00",63.82,United States,NASDAQ,USD,1.00
GE,GENERAL ELECTRIC,Industrials,Equity,"20,870,776.93",0.20,"20,870,776.93","288,151.00",72.43,United States,New York Stock Exchange Inc.,USD,1.00
ADI,ANALOG DEVICES INC,Information Technology,Equity,"20,429,788.02",0.20,"20,429,788.02","137,454.00",148.63,United States,NASDAQ,USD,1.00
TGT,TARGET CORP,Consumer Discretionary,Equity,"20,011,738.80",0.19,"20,011,738.80","121,578.00",164.60,United States,New York Stock Exchange Inc.,USD,1.00
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"19,676,664.46",0.19,"19,676,664.46","10,706.00","1,837.91",United States,NASDAQ,USD,1.00
TJX,TJX INC,Consumer Discretionary,Equity,"19,602,335.52",0.19,"19,602,335.52","308,601.00",63.52,United States,New York Stock Exchange Inc.,USD,1.00
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"19,496,916.00",0.19,"19,496,916.00","124,200.00",156.98,United States,New York Stock Exchange Inc.,USD,1.00
